MATTR 1.0.6877.18766 2018/10/31


动物安详_05_departw.txt
MATTR(100): 0.755
351	0.790	狮子
352	0.800	竟
353	0.810	吵起来
354	0.810	一个
355	0.820	说
356	0.820	先来后到
357	0.810	我
358	0.820	该站
359	0.820	在
360	0.830	前边
361	0.820	一个
362	0.810	说
363	0.820	凭
364	0.820	你
365	0.810	的
366	0.810	出身
367	0.810	还有
368	0.820	资格
369	0.810	说
370	0.810	这话
371	0.800	两个
372	0.810	就
373	0.810	咬起来
374	0.820	四只
375	0.820	红眼
376	0.830	两嘴
377	0.830	茸毛
378	0.830	梦醒
379	0.820	我
380	0.810	就
381	0.810	去
382	0.810	客厅
383	0.800	两个
384	0.790	狮子
385	0.790	依然
386	0.790	在
387	0.780	门口
388	0.780	处卧
389	0.780	着
390	0.780	冰冰冷冷
391	0.770	的
392	0.770	两块
393	0.780	石头
394	0.780	心想
395	0.790	这
396	0.790	就
397	0.790	怪
398	0.790	了
399	0.790	莫非
400	0.780	石头
401	0.780	凿
402	0.770	了
403	0.760	狮子
404	0.750	真
405	0.740	就
406	0.740	有
407	0.740	狮子
408	0.730	的
409	0.740	灵魂
410	0.730	前边
411	0.730	的
412	0.730	那
413	0.730	只是
414	0.720	我
415	0.720	前年
416	0.710	在
417	0.720	南山
418	0.720	一个
419	0.720	村庄
420	0.720	买来
421	0.710	的
422	0.710	当时
423	0.710	它
424	0.700	就
425	0.690	在
426	0.690	猪圈
427	0.690	里
428	0.680	当时
429	0.680	发现
430	0.670	了
431	0.660	那
432	0.660	家
433	0.660	农民
434	0.660	说
435	0.660	一块
436	0.650	石头
437	0.650	你
438	0.650	要
439	0.650	喜欢
440	0.640	了
441	0.630	你
442	0.630	就
443	0.630	搬
444	0.620	去
445	0.620	吧
446	0.620	待
447	0.620	我
448	0.630	从
449	0.630	猪圈
450	0.630	里
451	0.640	好不容易
452	0.630	搬
453	0.630	上
454	0.630	了
455	0.640	汽车
456	0.630	那
457	0.630	农民
458	0.630	见
459	0.630	我
460	0.640	兴奋
461	0.650	劲
462	0.650	就
463	0.650	反悔
464	0.650	了
465	0.660	一定
466	0.650	要
467	0.650	付款
468	0.650	结果
469	0.660	几经
470	0.660	讨价还价
471	0.670	付
472	0.670	了
473	0.670	他
474	0.670	二十五元
475	0.660	这
476	0.650	狮子
477	0.650	不
478	0.650	大
479	0.660	威风
480	0.670	但
481	0.680	模样
482	0.680	极俊
483	0.680	立脚
484	0.690	高望
485	0.690	仰面朝天
486	0.700	是
487	0.700	个
488	0.700	高傲
489	0.690	的
490	0.690	角色
491	0.700	像
492	0.690	个
493	0.700	君子
494	0.700	另一只
495	0.700	是
496	0.700	一个
